workerid,condition,browser,gender,age,showEarlierWheelFirst,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,attentionCheck1Time.1,attentionCheck1Time.2,attentionCheck1Time.3,attentionCheck1Time.4,attentionCheck1Time.5,attentionCheck2Time.1,attentionCheck2Time.2,attentionCheck2Time.3,attentionCheck2Time.4,attentionCheck2Time.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
30,1,Chrome,M,23,1,1,2,3,4,5,1,0,1,0,1,0,0,1,0,1,2,3,7,10,6,21,23,11,33,31,31,3,43,18,21,45,0,10,25,25,60,30,50,60,45,90,60,75,100,80,0.54,0.41,0.55,0.43,0.3,0.3,0.37,0.28,0.35,0.3,0.16,0.22,0.17,0.22,0.4,1,3,1,3,3,45,60,10,100,80,0.54,0.22,0.55,0.22,0.4,41,8,19,9,46,0,15,25,15,55,40,70,45,70,70,95,80,80,80,85,0.27,0.49,0.31,0.45,0.26,0.4,0.27,0.32,0.29,0.53,0.33,0.24,0.37,0.26,0.21,2,2,1,3,1,40,70,25,80,55,0.4,0.27,0.31,0.26,0.26,0.727,0.767,0.31,0.607,0.118,0.078,0.382,0.867,0.09,0.025,45,60,10,100,80,40,70,25,80,55,10,10,10,10,10,2,2,2,2,2,42863,32927,29116,27779,28377,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,1,Firefox,M,37,1,1,2,3,4,5,0,0,1,0,0,1,1,1,1,0,2,3,6,1,8,21,23,31,12,22,41,8,21,4,50,0,15,25,10,50,40,70,45,35,75,95,80,80,75,90,0.27,0.49,0.3,0.5,0.32,0.4,0.27,0.3,0.31,0.5,0.33,0.24,0.4,0.19,0.18,2,2,3,1,2,40,70,80,10,75,0.4,0.27,0.4,0.5,0.5,31,3,46,11,11,45,0,55,20,20,60,30,70,45,45,90,60,85,70,70,0.54,0.41,0.26,0.41,0.41,0.3,0.37,0.53,0.35,0.35,0.16,0.22,0.21,0.24,0.24,1,3,1,2,2,45,60,55,45,45,0.54,0.22,0.26,0.35,0.35,0.685,0.783,0.734,0.208,0.774,0.067,0.058,0.466,0.376,0.759,40,70,80,10,75,45,60,55,45,45,10,10,10,10,10,2,2,2,2,2,134962,117446,82933,84586,70765,6,8,9,2,7,2,1,1,9,3,7,8,9,1,8,3,2,1,9,2,7,9,9,1,7,3,2,1,9,3,3,9,5,6,6,8,1,6,5,5,2,9,5,6,5,8,1,6,6,6,3,9,5,6,5,9,1,7,5,7,2,9,7,3,7,8,1,2,7,4,1,9,7,2,6,9,1,3,8,5,2,9,5,3,5,9,1,4,9,4
32,1,Firefox,M,22,1,1,2,3,4,5,1,0,0,0,0,0,1,0,0,1,9,5,8,7,3,22,13,22,11,23,29,37,50,19,8,40,20,50,25,15,65,50,75,45,70,100,90,90,80,80,0.38,0.28,0.32,0.31,0.49,0.34,0.19,0.5,0.32,0.27,0.28,0.53,0.18,0.37,0.24,2,1,2,1,2,65,20,75,25,70,0.34,0.28,0.5,0.31,0.27,26,15,11,43,3,15,30,20,10,0,50,50,45,50,30,75,95,70,75,60,0.24,0.3,0.41,0.55,0.41,0.4,0.3,0.35,0.28,0.37,0.36,0.4,0.24,0.17,0.22,2,3,2,1,3,50,95,45,10,60,0.4,0.4,0.35,0.55,0.22,0.068,0.313,0.979,0.745,0.413,0.976,0.593,0.618,0.038,0.581,65,20,75,25,70,50,95,45,10,60,10,10,10,10,10,2,2,2,2,2,65554,54482,62591,52463,49441,7,4,7,4,6,2,4,2,5,2,6,4,6,2,5,4,6,3,6,3,5,3,4,2,5,5,5,4,6,3,6,8,6,2,7,2,1,2,5,1,6,7,5,2,7,4,1,3,6,1,5,7,4,2,6,5,1,4,5,1,7,6,6,3,6,2,2,2,6,2,7,6,5,2,6,4,3,4,6,3,6,4,5,2,5,4,5,4,6,3
33,1,Firefox,M,30,0,1,2,3,4,5,0,0,0,1,1,0,1,1,1,1,4,1,8,6,9,32,12,22,31,22,23,4,11,21,26,20,10,20,25,15,60,35,45,45,50,90,75,70,80,75,0.34,0.5,0.41,0.3,0.24,0.22,0.31,0.35,0.3,0.4,0.44,0.19,0.24,0.4,0.36,2,1,2,3,2,60,10,45,80,50,0.22,0.5,0.35,0.4,0.4,36,11,50,46,29,30,20,50,55,40,50,45,75,70,65,90,70,90,85,100,0.39,0.41,0.32,0.26,0.38,0.25,0.35,0.5,0.53,0.34,0.36,0.24,0.18,0.21,0.28,3,2,2,1,2,90,45,75,55,65,0.36,0.35,0.5,0.26,0.34,0.714,0.137,0.323,0.586,0.042,0.962,0.609,0.193,0.301,0.598,60,10,45,80,50,90,45,75,55,65,2,2,2,2,2,10,10,10,10,10,94118,73455,41638,56747,66128,5,1,5,9,7,3,9,5,1,2,6,1,5,9,7,3,9,5,1,2,6,1,5,9,7,2,9,5,1,2,9,5,4,1,6,1,3,4,9,3,9,5,5,1,7,1,3,5,9,2,9,5,5,1,7,1,3,5,9,3,7,3,5,5,6,2,7,5,5,3,7,3,5,5,6,2,7,6,5,3,7,3,5,5,6,2,7,5,5,3
34,1,Chrome,M,66,0,1,2,3,4,5,1,0,1,0,1,1,0,0,1,0,4,10,8,7,3,32,33,22,11,23,36,18,50,43,3,30,25,50,10,0,50,60,75,50,30,90,100,90,75,60,0.39,0.43,0.32,0.55,0.41,0.25,0.35,0.5,0.28,0.37,0.36,0.22,0.18,0.17,0.22,3,3,2,1,3,90,100,75,10,60,0.36,0.22,0.5,0.55,0.22,23,9,11,19,8,20,15,20,25,15,60,70,45,45,70,90,80,70,80,80,0.34,0.45,0.41,0.31,0.49,0.22,0.29,0.35,0.32,0.27,0.44,0.26,0.24,0.37,0.24,2,3,2,1,2,60,80,45,25,70,0.22,0.26,0.35,0.31,0.27,0.553,0.936,0.171,0.752,0.784,0.28,0.032,0.475,0.179,0.93,90,100,75,10,60,60,80,45,25,70,2,2,2,2,2,10,10,10,10,10,130173,97308,95279,97669,103817,8,8,7,6,8,2,2,3,4,2,7,8,7,6,8,2,2,3,4,2,8,8,7,6,8,2,2,3,4,2,7,8,7,6,8,3,2,3,4,2,7,8,7,6,8,3,2,3,4,2,6,8,7,6,8,4,2,4,4,2,7,8,7,6,8,3,8,3,4,2,7,8,7,6,8,3,2,3,4,2,7,8,7,6,8,3,2,4,4,2
35,1,Firefox,F,53,1,1,2,3,4,5,0,0,0,0,1,1,0,0,1,0,10,1,6,7,9,33,12,31,11,22,9,11,46,43,29,15,20,55,10,40,70,45,70,50,65,80,70,85,75,100,0.45,0.41,0.26,0.55,0.38,0.29,0.35,0.53,0.28,0.34,0.26,0.24,0.21,0.17,0.28,3,2,1,1,2,80,45,55,10,65,0.26,0.35,0.26,0.55,0.34,18,4,21,19,26,25,10,25,25,15,60,35,45,45,50,100,75,80,80,75,0.43,0.5,0.3,0.31,0.24,0.35,0.31,0.3,0.32,0.4,0.22,0.19,0.4,0.37,0.36,3,1,3,1,2,100,10,80,25,50,0.22,0.5,0.4,0.31,0.4,0.763,0.324,0.047,0.942,0.331,0.7,0.968,0.47,0.086,0.436,80,45,55,10,65,100,10,80,25,50,10,10,10,10,10,2,2,2,2,2,81187,75040,59798,78004,66302,9,6,2,1,3,1,1,5,5,2,9,7,2,1,3,1,2,8,9,5,9,5,1,1,2,1,1,5,9,3,9,1,9,1,4,1,6,1,7,2,9,3,9,1,3,1,9,1,9,4,9,1,9,1,2,1,7,1,9,5,9,2,9,1,2,1,5,1,9,3,9,1,9,1,2,1,9,1,9,4,9,1,9,1,2,1,6,1,9,4
36,1,Chrome,F,40,1,1,2,3,4,5,0,1,0,0,1,1,1,0,0,0,3,4,10,8,6,23,32,33,22,31,8,36,18,50,46,15,30,25,50,55,70,50,60,75,70,80,90,100,90,85,0.49,0.39,0.43,0.32,0.26,0.27,0.25,0.35,0.5,0.53,0.24,0.36,0.22,0.18,0.21,2,3,3,2,1,70,90,100,75,55,0.27,0.36,0.22,0.5,0.26,3,23,9,11,21,0,20,15,20,25,30,60,70,45,45,60,90,80,70,80,0.41,0.34,0.45,0.41,0.3,0.37,0.22,0.29,0.35,0.3,0.22,0.44,0.26,0.24,0.4,3,2,3,2,3,60,60,80,45,80,0.22,0.22,0.26,0.35,0.4,0.029,0.725,0.332,0.583,0.755,0.871,0.288,0.261,0.897,0.679,70,90,100,75,55,60,60,80,45,80,10,10,10,10,10,2,2,2,2,2,55060,68469,64608,79158,39589,7,9,9,7,2,2,1,1,3,7,7,9,9,7,2,2,1,1,3,7,5,6,6,5,4,2,1,1,7,7,9,7,7,6,9,1,2,2,4,1,9,7,7,6,8,1,3,2,4,1,7,5,5,5,5,1,7,7,7,2,5,6,6,5,7,3,3,3,3,2,5,6,6,5,7,3,3,3,3,2,5,5,5,5,5,3,3,6,6,2
37,1,Chrome,M,40,1,1,2,3,4,5,0,0,0,1,0,1,1,0,0,0,8,5,4,10,3,22,13,32,33,23,11,37,23,18,3,20,20,20,25,0,45,50,60,60,30,70,90,90,100,60,0.41,0.28,0.34,0.43,0.41,0.35,0.19,0.22,0.35,0.37,0.24,0.53,0.44,0.22,0.22,2,1,2,3,3,45,20,60,100,60,0.35,0.28,0.22,0.22,0.22,50,15,36,9,8,50,30,30,15,15,75,50,50,70,70,90,95,90,80,80,0.32,0.3,0.39,0.45,0.49,0.5,0.3,0.25,0.29,0.27,0.18,0.4,0.36,0.26,0.24,2,3,3,3,2,75,95,90,80,70,0.5,0.4,0.36,0.26,0.27,0.625,0.801,0.974,0.775,0.656,0.757,0.776,0.33,0.034,0.052,45,20,60,100,60,75,95,90,80,70,10,10,10,10,10,2,2,2,2,2,137818,103172,86258,66969,158687,7,6,7,9,9,2,5,1,1,1,9,6,8,9,9,2,6,2,1,1,8,3,8,9,9,2,7,1,1,1,8,9,9,9,8,1,1,1,1,1,8,9,9,9,8,1,1,1,1,1,8,9,8,9,8,2,1,1,1,1,8,8,9,9,8,1,1,1,1,1,9,8,9,9,9,1,1,1,1,1,9,8,9,9,9,1,2,1,1,1
38,1,Chrome,M,25,1,1,2,3,4,5,0,0,0,0,0,1,0,1,1,1,6,9,8,7,4,31,22,22,11,32,21,29,11,43,36,25,40,20,10,30,45,65,45,50,50,80,100,70,75,90,0.3,0.38,0.41,0.55,0.39,0.3,0.34,0.35,0.28,0.25,0.4,0.28,0.24,0.17,0.36,3,2,2,1,3,80,65,45,10,90,0.4,0.34,0.35,0.55,0.36,46,26,50,19,23,55,15,50,25,20,70,50,75,45,60,85,75,90,80,90,0.26,0.24,0.32,0.31,0.34,0.53,0.4,0.5,0.32,0.22,0.21,0.36,0.18,0.37,0.44,1,2,2,1,2,55,50,75,25,60,0.26,0.4,0.5,0.31,0.22,0.106,0.392,0.864,0.177,0.577,0.255,0.192,0.95,0.814,0.524,80,65,45,10,90,55,50,75,25,60,10,10,10,10,10,2,2,2,2,2,104633,71541,68437,67492,60875,8,7,8,5,9,2,2,2,6,1,7,7,2,4,8,2,3,2,4,1,8,7,8,6,8,2,3,8,4,2,5,8,9,6,8,5,4,1,3,2,4,7,8,6,7,4,2,1,3,3,6,7,8,7,8,3,3,2,3,3,8,8,8,7,7,2,2,2,3,2,8,6,8,6,7,3,2,2,3,3,8,8,8,6,7,3,3,2,3,3
39,1,Chrome,M,28,0,1,2,3,4,5,1,0,1,1,0,0,1,0,1,1,9,7,2,1,6,22,11,21,12,31,29,43,31,4,21,40,10,45,10,25,65,50,60,35,45,100,75,90,75,80,0.38,0.55,0.54,0.5,0.3,0.34,0.28,0.3,0.31,0.3,0.28,0.17,0.16,0.19,0.4,2,1,1,1,3,65,10,45,10,80,0.34,0.55,0.54,0.5,0.4,26,19,41,11,46,15,25,0,20,55,50,45,40,45,70,75,80,95,70,85,0.24,0.31,0.27,0.41,0.26,0.4,0.32,0.4,0.35,0.53,0.36,0.37,0.33,0.24,0.21,2,1,2,2,1,50,25,40,45,55,0.4,0.31,0.4,0.35,0.26,0.78,0.818,0.914,0.49,0.885,0.524,0.384,0.423,0.045,0.389,65,10,45,10,80,50,25,40,45,55,10,2,2,2,2,2,10,10,10,10,124460,85955,102362,73664,73259,6,2,5,2,8,1,6,2,6,1,8,2,4,2,8,3,8,6,7,1,4,1,2,2,9,3,6,4,6,1,6,3,6,6,5,1,6,2,2,3,6,2,7,6,6,2,7,2,3,5,7,2,6,5,2,2,6,3,3,5,7,2,4,3,7,1,7,3,4,2,6,3,5,4,6,3,8,5,5,5,6,2,4,3,6,2,7,4,5,2
40,1,Chrome,F,22,0,1,2,3,4,5,1,0,1,1,1,1,0,1,0,0,5,8,6,2,3,13,22,31,21,23,37,50,21,31,3,20,50,25,45,0,50,75,45,60,30,90,90,80,90,60,0.28,0.32,0.3,0.54,0.41,0.19,0.5,0.3,0.3,0.37,0.53,0.18,0.4,0.16,0.22,1,2,3,1,3,20,75,80,45,60,0.28,0.5,0.4,0.54,0.22,15,11,46,41,8,30,20,55,0,15,50,45,70,40,70,95,70,85,95,80,0.3,0.41,0.26,0.27,0.49,0.3,0.35,0.53,0.4,0.27,0.4,0.24,0.21,0.33,0.24,3,2,1,2,2,95,45,55,40,70,0.4,0.35,0.26,0.4,0.27,0.607,0.054,0.464,0.893,0.18,0.635,0.566,0.56,0.76,0.271,70,75,80,45,60,95,45,55,40,70,10,2,2,2,2,10,10,10,10,10,82127,73076,44268,38986,45961,7,8,9,7,7,3,2,1,3,3,7,8,9,8,7,5,2,1,2,4,5,8,9,7,6,4,2,1,4,3,7,7,7,7,7,5,2,2,2,3,7,7,7,7,7,5,3,4,4,3,7,7,7,7,6,3,3,4,3,4,6,7,7,7,7,3,3,2,3,3,6,7,7,7,6,6,3,3,3,3,6,7,7,7,7,3,3,3,4,4
41,1,Chrome,M,33,1,1,2,3,4,5,0,1,0,0,0,1,0,0,0,0,10,7,9,6,2,33,11,22,31,21,9,19,29,46,31,15,25,40,55,45,70,45,65,70,60,80,80,100,85,90,0.45,0.31,0.38,0.26,0.54,0.29,0.32,0.34,0.53,0.3,0.26,0.37,0.28,0.21,0.16,3,1,2,1,1,80,25,65,55,45,0.26,0.31,0.34,0.26,0.54,18,43,26,21,41,25,10,15,25,0,60,50,50,45,40,100,75,75,80,95,0.43,0.55,0.24,0.3,0.27,0.35,0.28,0.4,0.3,0.4,0.22,0.17,0.36,0.4,0.33,3,1,2,3,2,100,10,50,80,40,0.22,0.55,0.4,0.4,0.4,0.306,0.358,0.798,0.683,0.9,0.147,0.023,0.48,0.795,0.176,80,25,65,55,45,100,10,50,80,40,10,10,10,10,10,2,2,2,2,2,269433,69318,172425,58078,63587,8,4,6,4,5,2,4,2,6,4,9,4,5,4,4,1,7,6,7,6,9,1,3,1,1,1,1,1,1,1,9,3,6,7,6,1,5,2,1,2,9,1,5,8,6,1,7,6,1,5,9,1,3,8,5,1,1,1,1,1,8,3,6,7,6,1,5,4,1,2,9,1,6,7,6,1,7,6,2,3,9,1,3,6,3,1,1,1,1,1
42,1,Chrome,M,26,1,1,2,3,4,5,1,1,0,1,1,1,0,1,1,0,7,8,4,10,1,11,22,32,33,12,43,50,36,9,11,10,50,30,15,20,50,75,50,70,45,75,90,90,80,70,0.55,0.32,0.39,0.45,0.41,0.28,0.5,0.25,0.29,0.35,0.17,0.18,0.36,0.26,0.24,1,2,3,3,2,10,75,90,80,45,0.55,0.5,0.36,0.26,0.35,19,11,23,18,4,25,20,20,25,10,45,45,60,60,35,80,70,90,100,75,0.31,0.41,0.34,0.43,0.5,0.32,0.35,0.22,0.35,0.31,0.37,0.24,0.44,0.22,0.19,1,2,2,3,1,25,45,60,100,10,0.31,0.35,0.22,0.22,0.5,0.353,0.7,0.387,0.378,0.059,0.331,0.874,0.349,0.23,0.056,10,75,90,80,45,25,45,60,100,10,10,10,10,10,10,2,2,2,2,2,83727,73379,62990,65175,60336,3,6,7,6,5,6,2,2,2,4,5,4,2,2,4,6,4,2,2,5,4,4,6,7,2,5,5,2,2,5,4,5,5,8,2,4,3,3,2,7,5,5,5,3,3,6,5,4,2,6,3,3,4,7,2,6,5,5,1,5,4,5,6,8,3,3,4,4,2,4,5,3,3,2,2,5,4,3,2,7,4,5,6,7,2,4,3,2,2,6
43,1,Chrome,F,28,0,1,2,3,4,5,1,1,0,0,1,0,1,0,0,0,3,8,10,7,1,23,22,33,11,12,3,11,18,19,11,0,20,25,25,20,30,45,60,45,45,60,70,100,80,70,0.41,0.41,0.43,0.31,0.41,0.37,0.35,0.35,0.32,0.35,0.22,0.24,0.22,0.37,0.24,3,2,3,1,2,60,45,100,25,45,0.22,0.35,0.22,0.31,0.35,8,50,9,43,4,15,50,15,10,10,70,75,70,50,35,80,90,80,75,75,0.49,0.32,0.45,0.55,0.5,0.27,0.5,0.29,0.28,0.31,0.24,0.18,0.26,0.17,0.19,2,2,3,1,1,70,75,80,10,10,0.27,0.5,0.26,0.55,0.5,0.107,0.332,0.982,0.864,0.329,0.16,0.186,0.05,0.548,0.767,60,45,100,25,45,70,75,80,10,10,2,2,2,2,2,10,10,10,10,10,108737,118226,51971,84572,63418,7,7,9,4,7,1,3,1,5,3,8,7,9,6,6,1,5,1,7,4,8,3,8,2,3,1,5,1,5,2,8,7,9,3,2,1,3,1,5,6,9,6,9,3,1,1,5,1,8,8,8,2,9,1,1,1,5,1,6,6,8,7,9,3,3,1,3,1,7,5,9,8,8,2,4,1,4,1,9,6,9,6,9,3,2,1,3,1,6,4
44,1,Mozilla,F,29,0,1,2,3,4,5,0,1,1,0,1,1,0,1,0,1,7,10,9,6,2,11,33,22,31,21,43,18,26,46,41,10,25,15,55,0,50,60,50,70,40,75,100,75,85,95,0.55,0.43,0.24,0.26,0.27,0.28,0.35,0.4,0.53,0.4,0.17,0.22,0.36,0.21,0.33,1,3,2,1,2,10,100,50,55,40,0.55,0.22,0.4,0.26,0.4,19,9,29,21,31,25,15,40,25,45,45,70,65,45,60,80,80,100,80,90,0.31,0.45,0.38,0.3,0.54,0.32,0.29,0.34,0.3,0.3,0.37,0.26,0.28,0.4,0.16,1,3,2,3,1,25,80,65,80,45,0.31,0.26,0.34,0.4,0.54,0.812,0.481,0.32,0.394,0.74,0.187,0.874,0.107,0.771,0.127,10,100,50,55,40,25,,65,80,45,2,2,2,2,2,10,10,10,10,10,129043,309536,77114,53156,57709,4,9,7,7,6,7,1,4,2,2,5,9,7,8,7,6,1,4,2,2,4,9,6,6,7,3,1,4,1,2,6,9,8,9,7,6,1,4,1,3,5,9,7,9,7,6,1,4,1,4,6,9,7,8,6,3,1,4,1,2,5,9,8,9,8,3,1,2,1,2,5,9,8,9,8,7,1,2,1,2,6,9,7,8,8,2,1,3,1,2
45,1,Chrome,M,31,1,1,2,3,4,5,0,1,0,0,1,1,1,1,1,0,3,6,4,7,9,23,31,32,11,22,8,21,36,43,29,15,25,30,10,40,70,45,50,50,65,80,80,90,75,100,0.49,0.3,0.39,0.55,0.38,0.27,0.3,0.25,0.28,0.34,0.24,0.4,0.36,0.17,0.28,2,3,3,1,2,70,80,90,10,65,0.27,0.4,0.36,0.55,0.34,3,46,23,19,26,0,55,20,25,15,30,70,60,45,50,60,85,90,80,75,0.41,0.26,0.34,0.31,0.24,0.37,0.53,0.22,0.32,0.4,0.22,0.21,0.44,0.37,0.36,3,1,2,1,2,60,55,60,25,50,0.22,0.26,0.22,0.31,0.4,0.287,0.37,0.722,0.361,0.003,0.89,0.161,0.939,0.8,0.7,70,80,90,10,65,60,55,60,25,50,10,10,10,10,10,2,2,2,2,2,96163,44458,44159,37268,46134,7,8,8,2,5,2,2,2,7,4,7,8,8,2,5,2,2,2,8,4,6,8,8,2,4,3,2,2,7,4,8,3,5,1,5,2,7,4,9,4,7,3,5,1,4,2,7,5,9,4,7,3,5,1,4,2,6,5,9,4,8,6,6,1,4,2,3,3,9,4,7,6,7,1,4,2,5,3,9,4,7,5,6,1,4,2,6,4,9,4
46,1,Firefox,F,36,1,1,2,3,4,5,0,1,0,0,1,0,1,0,1,0,8,6,1,2,10,22,31,12,21,33,50,21,11,41,18,50,25,20,0,25,75,45,45,40,60,90,80,70,95,100,0.32,0.3,0.41,0.27,0.43,0.5,0.3,0.35,0.4,0.35,0.18,0.4,0.24,0.33,0.22,2,3,2,2,3,75,80,45,40,100,0.5,0.4,0.35,0.4,0.22,11,46,4,31,9,20,55,10,45,15,45,70,35,60,70,70,85,75,90,80,0.41,0.26,0.5,0.54,0.45,0.35,0.53,0.31,0.3,0.29,0.24,0.21,0.19,0.16,0.26,2,1,1,1,3,45,55,10,45,80,0.35,0.26,0.5,0.54,0.26,0.251,0.413,0.829,0.106,0.557,0.026,0.422,0.571,0.646,0.917,75,80,45,40,100,45,55,10,45,80,10,10,10,10,10,2,2,2,2,2,92465,59579,63173,69970,42653,7,9,6,5,9,1,1,2,3,1,6,9,5,5,9,3,1,4,3,1,8,9,6,7,9,2,1,3,2,1,6,3,1,2,9,1,5,7,4,1,7,2,1,1,9,3,8,9,8,1,7,1,1,1,9,2,6,6,5,1,6,6,4,3,9,1,1,5,5,1,7,7,4,3,9,2,3,6,7,1,7,5,2,3,9,1,2,6,4,1
47,1,Chrome,F,38,0,1,2,3,4,5,1,1,0,0,0,1,1,0,0,0,7,3,4,5,6,11,23,32,13,31,43,8,23,15,46,10,15,20,30,55,50,70,60,50,70,75,80,90,95,85,0.55,0.49,0.34,0.3,0.26,0.28,0.27,0.22,0.3,0.53,0.17,0.24,0.44,0.4,0.21,1,2,2,3,1,10,70,60,95,55,0.55,0.27,0.22,0.4,0.26,19,3,36,37,21,25,0,30,20,25,45,30,50,50,45,80,60,90,90,80,0.31,0.41,0.39,0.28,0.3,0.32,0.37,0.25,0.19,0.3,0.37,0.22,0.36,0.53,0.4,1,3,3,1,3,25,60,90,20,80,0.31,0.22,0.36,0.28,0.4,0.299,0.331,0.14,0.701,0.271,0.899,0.997,0.23,0.716,0.56,10,70,60,95,55,25,60,90,20,80,2,2,2,2,2,10,10,10,10,10,117376,124165,81067,126115,89918,2,7,6,8,3,7,2,2,1,2,2,6,6,8,3,8,5,4,1,7,2,7,7,9,5,3,4,4,1,7,3,8,9,1,8,6,1,1,7,1,4,8,9,4,7,8,1,1,8,1,2,9,9,3,8,5,1,1,5,1,1,8,7,6,6,8,2,2,4,3,2,8,7,6,6,9,1,3,5,4,2,9,6,5,6,8,1,4,6,4
48,1,Chrome,M,29,0,1,2,3,4,5,0,0,0,1,1,1,1,1,0,1,3,4,7,1,9,23,32,11,12,22,8,36,43,11,26,15,30,10,20,15,70,50,50,45,50,80,90,75,70,75,0.49,0.39,0.55,0.41,0.24,0.27,0.25,0.28,0.35,0.4,0.24,0.36,0.17,0.24,0.36,2,3,1,2,2,70,90,10,45,50,0.27,0.36,0.55,0.35,0.4,3,23,19,4,29,0,20,25,10,40,30,60,45,35,65,60,90,80,75,100,0.41,0.34,0.31,0.5,0.38,0.37,0.22,0.32,0.31,0.34,0.22,0.44,0.37,0.19,0.28,3,2,1,1,2,60,60,25,10,65,0.22,0.22,0.31,0.5,0.34,0.53,0.883,0.029,0.929,0.463,0.461,0.401,0.362,0.319,0.064,70,90,10,45,50,60,60,25,10,65,2,2,2,2,2,10,10,10,10,10,90512,62834,58867,72099,64577,7,9,2,5,5,1,1,6,2,2,7,9,1,4,5,2,1,8,3,3,5,8,1,4,2,2,1,6,2,2,8,6,2,2,3,1,2,6,4,2,9,6,1,1,3,1,2,8,6,2,9,5,1,1,2,1,2,6,4,2,8,8,2,1,5,1,1,7,6,2,8,7,1,1,5,1,2,8,8,4,7,6,1,1,2,1,1,6,6,2
