workerid,condition,browser,gender,age,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,leftWheelFirst.1,leftWheelFirst.2,leftWheelFirst.3,leftWheelFirst.4,leftWheelFirst.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
32,1,Chrome,F,30,6,9,4,2,8,31,22,32,21,22,21,26,36,41,11,55,40,30,0,50,70,65,50,40,75,85,100,90,95,90,0.26,0.38,0.39,0.27,0.32,0.53,0.34,0.25,0.4,0.5,0.21,0.28,0.36,0.33,0.18,1,2,3,2,2,55,65,90,40,75,0.26,0.34,0.36,0.4,0.5,46,29,23,31,50,25,15,20,45,20,45,50,60,60,45,80,75,90,90,70,0.3,0.24,0.34,0.54,0.41,0.3,0.4,0.22,0.3,0.35,0.4,0.36,0.44,0.16,0.24,3,2,2,1,2,80,50,60,45,45,0.4,0.4,0.22,0.54,0.35,0.204,0.942,0.562,0.058,0.534,0.066,0.517,0.145,0.08,0,55,50,90,40,75,80,50,60,45,45,0,0,1,1,0,59831,57402,52880,53644,55553,6,5,7,5,6,2,3,1,2,1,6,5,7,5,6,2,3,1,2,1,2,2,7,5,2,3,3,1,2,1,8,6,6,6,7,1,2,2,2,2,8,6,6,6,6,1,2,2,2,2,5,3,6,5,6,1,3,2,2,2,7,6,7,6,6,2,2,2,2,1,7,6,7,6,5,2,2,2,2,1,7,4,7,5,5,2,2,2,2,1
33,1,Chrome,F,31,6,3,8,1,4,31,23,22,12,32,21,8,11,4,36,25,15,50,10,30,45,70,75,35,50,80,80,90,75,90,0.3,0.49,0.32,0.5,0.39,0.3,0.27,0.5,0.31,0.25,0.4,0.24,0.18,0.19,0.36,3,2,2,1,3,80,70,75,10,90,0.4,0.27,0.5,0.5,0.36,46,3,50,11,23,55,0,20,20,20,70,30,45,45,60,85,60,70,70,90,0.26,0.41,0.41,0.41,0.34,0.53,0.37,0.35,0.35,0.22,0.21,0.22,0.24,0.24,0.44,1,3,2,2,2,55,60,45,45,60,0.26,0.22,0.35,0.35,0.22,0.1,0.448,0.149,0.05,0.372,0.103,0.124,0.332,0.564,0.057,80,70,45,10,90,55,60,75,45,60,1,1,0,1,1,55410,10174,77555,36235,39351,9,9,7,2,9,1,1,1,7,1,9,9,7,2,9,1,1,1,7,1,9,9,7,1,9,1,1,1,7,1,4,9,7,5,4,4,1,1,2,1,4,9,7,5,5,4,1,1,2,1,4,9,7,3,3,4,1,1,5,1,7,9,7,4,8,7,1,1,7,1,7,9,7,5,7,7,1,1,6,1,7,9,7,2,7,7,1,1,6,1
34,1,Chrome,F,28,3,1,5,7,8,23,12,13,11,22,8,4,37,43,11,15,10,30,25,20,70,35,50,45,45,80,75,95,80,70,0.49,0.5,0.3,0.31,0.41,0.27,0.31,0.3,0.32,0.35,0.24,0.19,0.4,0.37,0.24,2,1,3,1,2,70,10,95,25,45,0.27,0.5,0.4,0.31,0.35,3,11,15,19,50,0,20,20,10,50,30,45,50,50,75,60,70,90,75,90,0.41,0.41,0.28,0.55,0.32,0.37,0.35,0.19,0.28,0.5,0.22,0.24,0.53,0.17,0.18,3,2,1,1,2,60,45,20,10,75,0.22,0.35,0.28,0.55,0.5,0.709,0.916,0.936,0.016,0.073,0.771,0.205,0.047,0.309,0.049,70,10,20,25,45,60,45,95,10,75,1,1,0,0,1,45837,66834,45843,108220,40497,9,5,5,4,7,1,2,2,5,2,9,4,5,4,7,1,7,2,5,2,5,1,1,1,5,1,1,1,1,1,9,8,9,3,7,1,1,1,6,2,9,8,9,3,7,1,2,1,6,2,5,5,5,1,5,1,1,1,1,1,9,7,8,4,7,1,1,1,4,2,9,7,8,4,7,1,2,1,4,2,5,5,5,1,5,1,1,1,1,1
35,1,Firefox,M,37,6,3,8,7,1,31,23,22,11,12,21,8,11,43,4,25,15,20,25,20,45,70,45,45,45,80,80,70,80,70,0.3,0.49,0.41,0.31,0.41,0.3,0.27,0.35,0.32,0.35,0.4,0.24,0.24,0.37,0.24,3,2,2,1,2,80,70,45,25,45,0.4,0.27,0.35,0.31,0.35,46,3,50,19,11,55,0,50,10,10,70,30,75,50,35,85,60,90,75,75,0.26,0.41,0.32,0.55,0.5,0.53,0.37,0.5,0.28,0.31,0.21,0.22,0.18,0.17,0.19,1,3,2,1,1,55,60,75,10,10,0.26,0.22,0.5,0.55,0.5,0.618,0.237,0.492,0.62,0.558,0.341,0.464,0.015,0.852,0.227,80,70,45,10,10,55,60,75,25,45,1,1,1,0,0,90136,107842,83172,79447,68413,9,8,6,1,1,1,2,5,9,9,9,8,5,1,1,1,2,8,9,9,9,7,3,1,1,1,2,7,9,9,7,9,7,3,5,2,1,2,8,6,6,9,8,2,4,5,1,2,9,7,5,9,8,2,3,2,1,3,8,7,7,8,7,2,3,2,1,3,8,8,8,9,7,3,2,2,1,4,8,8,7,9,6,2,3,1,1,5,9,8
36,1,Firefox,F,32,10,7,4,6,2,33,11,32,31,21,9,43,36,21,41,15,25,30,25,45,70,45,50,45,60,80,80,90,80,90,0.45,0.31,0.39,0.3,0.54,0.29,0.32,0.25,0.3,0.3,0.26,0.37,0.36,0.4,0.16,3,1,3,3,1,80,25,90,80,45,0.26,0.31,0.36,0.4,0.54,18,19,23,46,31,25,10,20,55,0,60,50,60,70,40,100,75,90,85,95,0.43,0.55,0.34,0.26,0.27,0.35,0.28,0.22,0.53,0.4,0.22,0.17,0.44,0.21,0.33,3,1,2,1,2,100,10,60,55,40,0.22,0.55,0.22,0.26,0.4,0.733,0.92,0.394,0.89,0.564,0.182,0.898,0.661,0.665,0.874,80,25,90,80,45,100,10,60,55,40,1,0,1,1,0,42068,100050,60138,65368,74810,9,2,9,9,2,1,6,1,1,5,9,3,9,9,2,1,9,1,1,8,9,1,9,5,1,1,5,1,1,7,9,3,6,1,4,1,5,3,6,5,9,2,6,1,4,1,7,5,9,7,9,1,2,1,7,1,7,5,9,5,9,2,8,7,4,1,5,2,3,6,9,2,8,7,5,1,8,4,4,7,9,1,6,5,2,1,6,3,4,7
37,1,Chrome,M,24,8,5,10,6,7,22,13,33,31,11,11,37,9,21,43,50,30,15,55,10,75,50,70,70,50,90,95,80,85,75,0.32,0.3,0.45,0.26,0.55,0.5,0.3,0.29,0.53,0.28,0.18,0.4,0.26,0.21,0.17,2,3,3,1,1,75,95,80,55,10,0.5,0.4,0.26,0.26,0.55,50,15,18,46,19,20,20,25,25,25,45,50,60,45,45,70,90,100,80,80,0.41,0.28,0.43,0.3,0.31,0.35,0.19,0.35,0.3,0.32,0.24,0.53,0.22,0.4,0.37,2,1,3,3,1,45,20,100,80,25,0.35,0.28,0.22,0.4,0.31,0.256,0.536,0.97,0.279,0.599,0.694,0.032,0.052,0.879,0.416,75,95,80,55,10,45,20,100,80,25,0,0,1,0,1,39565,41115,31689,40166,36734,8,9,9,7,2,2,1,1,2,8,9,9,9,8,3,3,1,1,4,9,8,9,9,7,2,2,1,1,2,7,8,3,9,9,2,3,3,1,1,7,9,4,9,9,1,4,9,1,1,8,7,2,9,9,2,4,9,1,1,8,9,7,9,8,2,2,4,1,2,7,9,8,9,9,1,2,3,1,2,9,8,5,9,8,2,1,4,1,2,6
38,1,Chrome,M,53,6,9,8,1,4,31,22,22,12,32,21,26,11,4,36,25,15,20,20,30,45,50,45,45,50,80,75,70,70,90,0.3,0.24,0.41,0.41,0.39,0.3,0.4,0.35,0.35,0.25,0.4,0.36,0.24,0.24,0.36,3,2,2,2,3,80,50,45,45,90,0.4,0.4,0.35,0.35,0.36,46,29,50,11,23,55,40,50,10,20,70,65,75,35,60,85,100,90,75,90,0.26,0.38,0.32,0.5,0.34,0.53,0.34,0.5,0.31,0.22,0.21,0.28,0.18,0.19,0.44,1,2,2,1,2,55,65,75,10,60,0.26,0.34,0.5,0.5,0.22,0.235,0.592,0.866,0.731,0.741,0.929,0.421,0.923,0.565,0.837,80,50,45,45,90,55,65,75,10,60,1,1,1,0,1,83712,59866,69075,65577,48643,7,6,5,4,7,1,2,2,2,1,9,7,5,5,9,1,2,3,3,1,7,7,3,2,4,1,2,2,4,1,5,5,6,3,6,3,3,2,5,2,5,3,6,3,7,3,3,2,7,3,1,2,4,1,5,4,4,2,6,2,7,7,7,6,7,1,2,2,3,2,7,7,8,6,8,2,2,2,6,2,5,3,3,1,2,2,2,2,6,2
39,1,Chrome,M,59,10,7,1,5,3,33,11,12,13,23,9,43,4,37,8,25,25,20,20,0,60,45,45,50,30,100,80,70,90,60,0.43,0.31,0.41,0.28,0.41,0.35,0.32,0.35,0.19,0.37,0.22,0.37,0.24,0.53,0.22,3,1,2,1,3,100,25,45,20,60,0.22,0.31,0.35,0.28,0.22,18,19,11,15,3,15,10,10,30,15,70,50,35,50,70,80,75,75,95,80,0.45,0.55,0.5,0.3,0.49,0.29,0.28,0.31,0.3,0.27,0.26,0.17,0.19,0.4,0.24,3,1,1,3,2,80,10,10,95,70,0.26,0.55,0.5,0.4,0.27,0.35,0.239,0.669,0.836,0.433,0.319,0.88,0.49,0.745,0.318,100,25,45,20,60,80,10,10,95,70,0,0,0,1,0,60998,47304,42952,68291,60942,9,1,5,1,9,1,9,5,9,1,9,1,5,1,9,1,9,5,9,1,9,1,5,1,9,1,9,5,9,1,9,1,1,9,8,1,9,9,1,2,9,1,1,9,8,1,9,9,1,2,9,1,1,9,8,1,9,9,1,2,9,1,4,6,8,1,9,6,4,2,9,1,4,7,8,1,9,6,4,2,9,1,4,7,8,1,9,6,4,2
40,1,Chrome,M,23,4,8,9,10,1,32,22,22,33,12,36,11,26,9,4,20,20,40,15,10,60,45,65,70,35,90,70,100,80,75,0.34,0.41,0.38,0.45,0.5,0.22,0.35,0.34,0.29,0.31,0.44,0.24,0.28,0.26,0.19,2,2,2,3,1,60,45,65,80,10,0.22,0.35,0.34,0.26,0.5,23,50,29,18,11,30,50,15,25,20,50,75,50,60,45,90,90,75,100,70,0.39,0.32,0.24,0.43,0.41,0.25,0.5,0.4,0.35,0.35,0.36,0.18,0.36,0.22,0.24,3,2,2,3,2,90,75,50,100,45,0.36,0.5,0.4,0.22,0.35,0.255,0.764,0.902,0.737,0.16,0.913,0.618,0.659,0.543,0.325,60,34,65,80,10,90,75,50,100,45,0,1,0,1,1,137181,68378,43781,38223,40261,7,7,6,9,2,3,2,3,1,8,7,7,7,9,2,2,3,4,1,8,7,7,6,9,2,2,3,4,1,8,9,7,7,9,6,1,3,3,1,4,9,3,7,9,6,1,3,3,1,5,9,7,7,9,6,1,3,3,1,5,7,7,7,9,4,2,2,3,1,6,8,7,7,9,4,2,2,3,1,6,8,7,7,9,4,2,2,3,1,6
41,1,Firefox,M,48,7,10,2,6,8,11,33,21,31,22,43,9,41,21,11,25,25,45,25,20,45,60,60,45,45,80,100,90,80,70,0.31,0.43,0.54,0.3,0.41,0.32,0.35,0.3,0.3,0.35,0.37,0.22,0.16,0.4,0.24,1,3,1,3,2,25,100,45,80,45,0.31,0.22,0.54,0.4,0.35,19,18,31,46,50,10,15,0,55,50,50,70,40,70,75,75,80,95,85,90,0.55,0.45,0.27,0.26,0.32,0.28,0.29,0.4,0.53,0.5,0.17,0.26,0.33,0.21,0.18,1,3,2,1,2,10,80,40,55,75,0.55,0.26,0.4,0.26,0.5,0.632,0.571,0.29,0.594,0.1,0.711,0.147,0.518,0.905,0.292,25,100,45,80,45,10,80,40,55,75,0,0,0,1,1,87261,49937,90053,95750,106664,2,9,1,9,5,9,1,9,1,2,1,9,1,9,4,9,1,9,1,2,1,9,1,9,8,9,1,9,1,2,1,9,5,1,9,8,1,1,7,1,1,9,5,1,7,8,1,1,9,1,1,9,7,1,5,8,1,2,9,9,1,9,2,2,4,9,1,5,9,2,1,9,1,1,4,9,1,5,9,5,1,9,1,2,1,9,1,7,9,5
42,1,Firefox,F,30,10,8,5,2,9,33,22,13,21,22,9,11,37,41,26,15,20,30,0,40,70,45,50,40,65,80,70,95,95,100,0.45,0.41,0.3,0.27,0.38,0.29,0.35,0.3,0.4,0.34,0.26,0.24,0.4,0.33,0.28,3,2,3,2,2,80,45,95,40,65,0.26,0.35,0.4,0.4,0.34,18,50,15,31,29,25,50,20,45,15,60,75,50,60,50,100,90,90,90,75,0.43,0.32,0.28,0.54,0.24,0.35,0.5,0.19,0.3,0.4,0.22,0.18,0.53,0.16,0.36,3,2,1,1,2,100,75,20,45,50,0.22,0.5,0.28,0.54,0.4,0.383,0.975,0.987,0.572,0.283,0.441,0.335,0.093,0.275,0.898,80,45,95,40,65,100,75,20,45,50,1,1,0,1,0,48173,46680,58235,47238,54274,7,6,8,7,7,1,4,1,2,1,8,5,9,8,7,1,2,1,1,1,7,3,6,8,4,1,1,1,1,1,9,5,1,2,6,1,1,8,7,1,9,6,1,2,7,1,1,8,7,1,8,1,1,1,5,1,1,6,5,1,9,7,5,5,6,1,1,3,3,1,9,7,6,6,8,1,1,4,4,1,8,3,4,3,3,1,1,2,2,1
43,1,Chrome,M,33,5,8,10,2,4,13,22,33,21,32,37,11,9,41,36,30,20,15,45,30,50,45,70,60,50,95,70,80,90,90,0.3,0.41,0.45,0.54,0.39,0.3,0.35,0.29,0.3,0.25,0.4,0.24,0.26,0.16,0.36,3,2,3,1,3,95,45,80,45,90,0.4,0.35,0.26,0.54,0.36,15,50,18,31,23,20,50,25,0,20,50,75,60,40,60,90,90,100,95,90,0.28,0.32,0.43,0.27,0.34,0.19,0.5,0.35,0.4,0.22,0.53,0.18,0.22,0.33,0.44,1,2,3,2,2,20,75,100,40,60,0.28,0.5,0.22,0.4,0.22,0.035,0.44,0.11,0.807,0.805,0.009,0.922,0.66,0.767,0.299,95,45,80,45,90,20,75,100,40,60,0,1,1,0,1,92590,81265,41521,128205,77116,8,5,9,2,9,1,3,1,8,1,9,5,9,1,9,1,2,1,9,1,5,4,6,1,5,1,3,1,8,1,3,6,9,3,6,6,3,1,7,2,3,7,9,3,7,8,2,1,7,1,2,3,8,5,4,6,2,1,5,7,5,6,9,4,8,3,2,1,6,1,6,7,9,4,8,4,2,1,7,2,5,6,7,3,5,2,2,1,7,3
44,1,Firefox,F,32,6,7,1,2,8,31,11,12,21,22,21,43,4,41,11,25,25,20,45,20,45,45,45,60,45,80,80,70,90,70,0.3,0.31,0.41,0.54,0.41,0.3,0.32,0.35,0.3,0.35,0.4,0.37,0.24,0.16,0.24,3,1,2,1,2,80,25,45,45,45,0.4,0.31,0.35,0.54,0.35,46,19,11,31,50,55,10,10,0,50,70,50,35,40,75,85,75,75,95,90,0.26,0.55,0.5,0.27,0.32,0.53,0.28,0.31,0.4,0.5,0.21,0.17,0.19,0.33,0.18,1,1,1,2,2,55,10,10,40,75,0.26,0.55,0.5,0.4,0.5,0.951,0.48,0.643,0.924,0.056,0.547,0.612,0.444,0.239,0.477,80,25,45,45,45,55,10,10,40,75,1,0,0,0,1,65935,60021,56242,41834,44112,8,3,5,4,5,1,1,1,1,1,8,3,4,4,5,1,7,6,6,5,5,5,5,5,5,1,1,1,1,1,6,3,4,4,7,1,1,1,1,1,6,3,3,4,7,5,7,7,6,3,5,5,5,5,5,1,1,1,1,1,7,3,5,4,7,1,1,1,1,1,7,3,5,4,7,2,7,6,6,2,5,5,5,5,5,1,1,1,1,1
45,1,Chrome,M,26,7,5,4,6,3,11,13,32,31,23,43,37,36,21,8,10,30,20,55,0,50,50,60,70,30,75,95,90,85,60,0.55,0.3,0.34,0.26,0.41,0.28,0.3,0.22,0.53,0.37,0.17,0.4,0.44,0.21,0.22,1,3,2,1,3,10,95,60,55,60,0.55,0.4,0.22,0.26,0.22,19,15,23,46,3,25,20,30,25,15,45,50,50,45,70,80,90,90,80,80,0.31,0.28,0.39,0.3,0.49,0.32,0.19,0.25,0.3,0.27,0.37,0.53,0.36,0.4,0.24,1,1,3,3,2,25,20,90,80,70,0.31,0.28,0.36,0.4,0.27,0.982,0.822,0.777,0.443,0.489,0.294,0.999,0.866,0.934,0.13,10,95,60,55,60,25,20,90,80,75,1,0,0,0,0,54523,52193,42209,45783,42805,5,8,4,4,9,3,2,6,4,1,3,7,5,5,6,7,2,7,7,3,5,7,3,3,6,5,3,5,3,5,5,2,9,9,6,4,7,1,1,2,3,3,5,8,6,2,7,1,2,2,5,5,7,7,5,4,5,5,1,5,4,7,7,8,6,4,3,3,2,2,5,6,6,7,7,8,4,4,3,3,5,5,5,5,6,5,5,5,5,3
46,1,Firefox,F,26,7,1,4,6,8,11,12,32,31,22,43,4,36,21,11,25,20,20,55,20,45,45,60,70,45,80,70,90,85,70,0.31,0.41,0.34,0.26,0.41,0.32,0.35,0.22,0.53,0.35,0.37,0.24,0.44,0.21,0.24,1,2,2,1,2,25,45,60,55,45,0.31,0.35,0.22,0.26,0.35,19,11,23,46,50,10,10,30,25,50,50,35,50,45,75,75,75,90,80,90,0.55,0.5,0.39,0.3,0.32,0.28,0.31,0.25,0.3,0.5,0.17,0.19,0.36,0.4,0.18,1,1,3,3,2,10,10,90,80,75,0.55,0.5,0.36,0.4,0.5,0.25,0.789,0.5,0.16,0.28,0.48,0.776,0.422,0.007,0.892,25,45,60,55,45,10,10,90,80,75,0,0,0,0,1,126783,101913,86332,124762,83708,5,6,4,5,4,1,1,2,2,3,3,5,4,5,3,5,2,3,2,5,2,3,5,3,4,4,3,3,2,4,5,2,8,7,5,1,1,1,1,2,4,2,5,5,4,6,4,1,1,2,1,1,4,4,3,4,2,1,1,3,5,6,7,6,5,2,3,2,2,2,4,5,6,5,5,5,3,2,2,2,2,5,5,4,3,2,2,1,2,2
47,1,Chrome,F,41,2,4,7,5,6,21,32,11,13,31,41,36,43,37,21,45,20,25,20,25,60,60,45,50,45,90,90,80,90,80,0.54,0.34,0.31,0.28,0.3,0.3,0.22,0.32,0.19,0.3,0.16,0.44,0.37,0.53,0.4,1,2,1,1,3,45,60,25,20,80,0.54,0.22,0.31,0.28,0.4,31,23,19,15,46,0,30,10,30,55,40,50,50,50,70,95,90,75,95,85,0.27,0.39,0.55,0.3,0.26,0.4,0.25,0.28,0.3,0.53,0.33,0.36,0.17,0.4,0.21,2,3,1,3,1,40,90,10,95,55,0.4,0.36,0.55,0.4,0.26,0.391,0.923,0.15,0.516,0.084,0.126,0.658,0.857,0.376,0.022,45,60,25,20,80,40,90,10,95,55,0,0,0,1,1,76478,40543,42236,53554,85550,3,8,2,3,7,4,7,3,2,8,3,8,3,3,7,1,7,2,2,7,4,8,3,3,8,3,7,3,3,7,7,7,2,6,7,8,8,3,7,6,7,8,2,6,5,6,7,3,7,4,5,8,2,6,5,7,8,3,7,6,5,7,4,6,6,6,8,3,5,5,5,6,4,4,6,6,7,4,6,7,5,6,3,6,5,6,7,4,6,6
48,1,Chrome,M,36,4,6,8,9,7,32,31,22,22,11,36,21,11,26,43,30,55,20,15,10,50,70,45,50,50,90,85,70,75,75,0.39,0.26,0.41,0.24,0.55,0.25,0.53,0.35,0.4,0.28,0.36,0.21,0.24,0.36,0.17,3,1,2,2,1,90,55,45,50,10,0.36,0.26,0.35,0.4,0.55,23,46,50,29,19,20,25,50,40,25,60,45,75,65,45,90,80,90,100,80,0.34,0.3,0.32,0.38,0.31,0.22,0.3,0.5,0.34,0.32,0.44,0.4,0.18,0.28,0.37,2,3,2,2,1,60,80,75,65,25,0.22,0.4,0.5,0.34,0.31,0.488,0.578,0.265,0.751,0.325,0.731,0.709,0.036,0.934,0.254,90,55,45,50,10,60,80,75,65,25,1,0,1,1,1,61699,77738,52407,55680,60756,9,7,6,7,2,1,2,3,2,8,5,5,4,4,4,1,1,3,2,8,7,4,3,2,1,1,1,2,1,6,8,9,7,7,2,1,1,1,1,7,5,5,5,4,4,1,1,1,1,7,5,6,3,4,1,1,1,1,1,7,9,8,7,8,2,1,1,2,1,8,5,5,5,5,5,1,1,2,1,8,7,6,4,4,1,1,1,1,1,5
49,1,Firefox,F,39,9,10,8,5,1,22,33,22,13,12,26,9,11,37,4,15,15,20,30,20,50,70,45,50,45,75,80,70,95,70,0.24,0.45,0.41,0.3,0.41,0.4,0.29,0.35,0.3,0.35,0.36,0.26,0.24,0.4,0.24,2,3,2,3,2,50,80,45,95,45,0.4,0.26,0.35,0.4,0.35,29,18,50,15,11,40,25,50,20,10,65,60,75,50,35,100,100,90,90,75,0.38,0.43,0.32,0.28,0.5,0.34,0.35,0.5,0.19,0.31,0.28,0.22,0.18,0.53,0.19,2,3,2,1,1,65,100,75,20,10,0.34,0.22,0.5,0.28,0.5,0.205,0.494,0.633,0.608,0.838,0.405,0.291,0.446,0.058,0.623,50,80,45,95,45,65,100,75,20,10,1,1,1,0,0,47949,24749,26284,27028,22737,5,5,5,4,5,2,4,4,4,3,5,4,4,4,5,3,5,4,4,4,5,4,4,4,4,2,4,5,4,3,5,5,3,4,5,4,4,5,4,4,5,4,4,4,5,6,4,5,4,5,5,4,4,4,3,4,3,5,6,5,5,5,6,4,5,4,4,3,4,3,5,5,7,4,4,6,6,3,4,4,5,5,5,3,3,5,5,4,5,5
50,1,Chrome,F,30,7,6,5,1,9,11,31,13,12,22,43,21,37,4,26,10,25,30,10,40,50,45,50,35,65,75,80,95,75,100,0.55,0.3,0.3,0.5,0.38,0.28,0.3,0.3,0.31,0.34,0.17,0.4,0.4,0.19,0.28,1,3,3,1,2,10,80,95,10,65,0.55,0.4,0.4,0.5,0.34,19,46,15,11,29,25,55,20,20,15,45,70,50,45,50,80,85,90,70,75,0.31,0.26,0.28,0.41,0.24,0.32,0.53,0.19,0.35,0.4,0.37,0.21,0.53,0.24,0.36,1,1,1,2,2,25,55,20,45,50,0.31,0.26,0.28,0.35,0.4,0.639,0.906,0.986,0.174,0.907,0.722,0.329,0.325,0.458,0.135,10,80,95,10,65,25,55,20,45,50,1,1,0,1,0,55355,45066,45246,40353,31498,5,8,8,5,7,1,1,1,1,1,5,5,5,5,5,7,1,1,7,5,1,1,1,1,1,1,1,1,1,1,6,7,4,7,7,1,1,1,1,1,5,5,5,5,5,6,6,8,4,4,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,1,1,1,1,1,5,5,5,5,5,7,4,5,3,4,1,1,1,1,1,1,1,1,1,1
51,1,Chrome,F,24,6,5,1,7,4,31,13,12,11,32,21,37,4,43,36,55,30,20,10,20,70,50,45,50,60,85,95,70,75,90,0.26,0.3,0.41,0.55,0.34,0.53,0.3,0.35,0.28,0.22,0.21,0.4,0.24,0.17,0.44,1,3,2,1,2,55,95,45,10,60,0.26,0.4,0.35,0.55,0.22,46,15,11,19,23,25,20,10,25,30,45,50,35,45,50,80,90,75,80,90,0.3,0.28,0.5,0.31,0.39,0.3,0.19,0.31,0.32,0.25,0.4,0.53,0.19,0.37,0.36,3,1,1,1,3,80,20,10,25,90,0.4,0.28,0.5,0.31,0.36,0.249,0.495,0.472,0.235,0.232,0.703,0.579,0.618,0.41,0.197,55,95,45,10,60,80,20,10,25,90,0,0,0,1,0,62314,49069,61257,62481,52920,7,9,6,3,7,3,1,2,5,2,6,5,3,5,7,3,1,2,7,1,2,6,4,2,6,4,1,3,7,1,9,6,5,6,9,1,3,3,4,1,5,5,4,4,7,1,4,7,6,1,7,1,2,3,7,1,5,7,6,1,9,9,6,6,8,1,1,2,3,1,5,5,5,6,7,2,3,3,5,1,5,5,6,2,6,1,3,2,5,1
52,1,Chrome,F,27,6,9,7,2,8,31,22,11,21,22,21,26,43,41,11,55,40,10,45,20,70,65,50,60,45,85,100,75,90,70,0.26,0.38,0.55,0.54,0.41,0.53,0.34,0.28,0.3,0.35,0.21,0.28,0.17,0.16,0.24,1,2,1,1,2,55,65,10,45,45,0.26,0.34,0.55,0.54,0.35,46,29,19,31,50,25,15,25,0,50,45,50,45,40,75,80,75,80,95,90,0.3,0.24,0.31,0.27,0.32,0.3,0.4,0.32,0.4,0.5,0.4,0.36,0.37,0.33,0.18,3,2,1,2,2,80,50,25,40,75,0.4,0.4,0.31,0.4,0.5,0.475,0.375,0.577,0.878,0.158,0.698,0.613,0.227,0.067,0.93,55,65,10,45,45,80,50,25,40,75,0,0,1,0,1,49142,53220,34491,47963,38646,5,7,5,6,7,3,2,5,4,3,7,7,5,6,7,5,2,5,4,3,5,7,5,6,7,4,3,5,4,3,8,6,5,6,7,1,2,5,3,3,8,7,5,6,7,1,3,5,3,3,8,7,5,6,7,1,2,5,3,3,7,7,5,6,7,1,2,5,5,3,8,7,5,6,7,3,2,5,5,3,7,7,5,6,7,2,2,5,5,3
