workerid,condition,browser,gender,age,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
31,1,Safari,F,33,1,2,3,4,5,1,1,0,0,0,1,0,1,1,0,2,10,5,1,8,21,33,13,12,22,41,18,37,4,50,0,15,20,10,20,40,70,50,35,45,95,80,90,75,70,0.27,0.45,0.28,0.5,0.41,0.4,0.29,0.19,0.31,0.35,0.33,0.26,0.53,0.19,0.24,2,3,1,1,2,40,80,20,10,45,0.4,0.26,0.28,0.5,0.35,31,9,15,11,11,45,25,30,20,50,60,60,50,45,75,90,100,95,70,90,0.54,0.43,0.3,0.41,0.32,0.3,0.35,0.3,0.35,0.5,0.16,0.22,0.4,0.24,0.18,1,3,3,2,2,45,100,95,45,75,0.54,0.22,0.4,0.35,0.5,0.67,0.943,0.786,0.483,0.112,0.941,0.664,0.207,0.913,0.551,40,100,,10,75,45,80,95,45,45,50505,42731,54426,59711,52257,7,9,4,3,7,1,1,2,7,1,9,9,4,1,9,1,1,7,8,1,5,9,1,1,5,1,1,5,9,1,7,9,9,5,7,1,1,1,5,1,9,9,9,3,9,1,1,1,8,1,5,9,9,3,7,1,1,1,9,1,8,9,8,5,8,1,1,1,7,1,9,9,9,1,9,1,1,2,8,1,5,9,9,1,6,1,1,2,8,1
32,1,Chrome,M,27,1,2,3,4,5,1,1,0,1,0,1,0,1,1,0,4,1,5,10,8,32,12,13,33,22,36,11,37,9,50,30,10,20,15,20,50,35,50,70,45,90,75,90,80,70,0.39,0.5,0.28,0.45,0.41,0.25,0.31,0.19,0.29,0.35,0.36,0.19,0.53,0.26,0.24,3,1,1,3,2,90,10,20,80,45,0.36,0.5,0.28,0.26,0.35,23,4,15,18,11,20,20,30,25,50,60,45,50,60,75,90,70,95,100,90,0.34,0.41,0.3,0.43,0.32,0.22,0.35,0.3,0.35,0.5,0.44,0.24,0.4,0.22,0.18,2,2,3,3,2,60,45,95,100,75,0.22,0.35,0.4,0.22,0.5,0.638,0.235,0.991,0.997,0.748,0.029,0.063,0.694,0.55,0.147,90,45,20,80,75,60,10,95,100,45,148802,126092,100677,92307,83909,8,6,4,7,7,1,4,4,1,1,9,6,4,7,7,1,2,4,1,2,7,6,1,6,6,1,2,6,1,2,7,4,9,9,7,2,6,1,1,1,8,5,9,9,7,2,4,1,1,2,5,1,9,9,6,3,5,1,1,2,8,5,7,9,7,1,4,2,1,1,8,5,7,9,8,2,4,2,1,2,6,1,6,8,6,1,3,2,1,2
33,1,Chrome,M,21,1,2,3,4,5,1,1,1,0,1,0,1,0,1,0,2,4,7,3,9,21,32,11,23,22,31,36,19,8,29,0,30,10,15,15,40,50,50,70,50,95,90,75,80,75,0.27,0.39,0.55,0.49,0.24,0.4,0.25,0.28,0.27,0.4,0.33,0.36,0.17,0.24,0.36,2,3,1,2,2,40,90,10,70,50,0.4,0.36,0.55,0.27,0.4,41,23,43,3,26,45,20,25,0,40,60,60,45,30,65,90,90,80,60,100,0.54,0.34,0.31,0.41,0.38,0.3,0.22,0.32,0.37,0.34,0.16,0.44,0.37,0.22,0.28,1,2,1,3,2,45,60,25,60,65,0.54,0.22,0.31,0.22,0.34,0.857,0.81,0.942,0.298,0.386,0.406,0.648,0.103,0.061,0.323,45,90,25,70,65,40,60,10,60,50,49407,52932,73150,52027,38854,3,9,2,5,3,6,1,5,3,5,3,5,4,5,3,8,1,7,3,6,1,9,1,1,1,1,1,1,1,1,3,4,1,7,4,6,4,5,1,3,2,2,1,5,5,7,7,8,1,5,4,2,1,1,1,1,1,1,1,1,4,5,2,6,5,6,5,6,2,3,2,5,1,5,5,8,4,8,3,4,3,3,1,1,1,1,1,1,1,1
34,1,Chrome,M,21,1,2,3,4,5,1,0,0,0,0,1,0,0,1,0,2,8,7,6,4,21,22,11,31,32,41,50,19,21,23,0,20,10,25,30,40,45,50,45,50,95,70,75,80,90,0.27,0.41,0.55,0.3,0.39,0.4,0.35,0.28,0.3,0.25,0.33,0.24,0.17,0.4,0.36,2,2,1,3,3,40,45,10,80,90,0.4,0.35,0.55,0.4,0.36,31,11,43,46,36,45,50,25,55,20,60,75,45,70,60,90,90,80,85,90,0.54,0.32,0.31,0.26,0.34,0.3,0.5,0.32,0.53,0.22,0.16,0.18,0.37,0.21,0.44,1,2,1,1,2,45,75,25,55,60,0.54,0.5,0.31,0.26,0.22,0.771,0.329,0.818,0.986,0.705,0.7,0.853,0.444,0.689,0.77,40,75,25,80,60,45,45,10,55,90,73495,55431,56916,58246,58151,7,8,3,8,7,4,3,7,2,3,6,8,4,8,5,4,3,7,3,4,7,7,3,7,6,3,3,6,2,3,4,6,3,6,9,4,3,7,3,2,3,5,3,4,6,7,4,8,5,2,2,5,2,2,8,6,4,6,5,3,7,8,4,6,7,4,3,6,4,2,6,6,4,5,7,4,4,6,4,3,5,7,3,6,7,4,3,6,5,2
35,1,Firefox,F,29,1,2,3,4,5,1,1,0,1,0,0,0,1,1,0,7,9,1,2,4,11,22,12,21,32,19,29,4,41,23,10,15,10,0,30,50,50,35,40,50,75,75,75,95,90,0.55,0.24,0.5,0.27,0.39,0.28,0.4,0.31,0.4,0.25,0.17,0.36,0.19,0.33,0.36,1,2,1,2,3,10,50,10,40,90,0.55,0.4,0.5,0.4,0.36,43,26,11,31,36,25,40,20,45,20,45,65,45,60,60,80,100,70,90,90,0.31,0.38,0.41,0.54,0.34,0.32,0.34,0.35,0.3,0.22,0.37,0.28,0.24,0.16,0.44,1,2,2,1,2,25,65,45,45,60,0.31,0.34,0.35,0.54,0.22,0.59,0.151,0.323,0.765,0.601,0.025,0.487,0.744,0.871,0.219,25,65,10,40,60,10,50,45,45,90,67731,38024,60234,53549,83747,4,5,4,4,5,1,1,1,1,1,3,2,4,1,1,3,1,5,1,1,1,3,1,6,3,4,1,4,1,1,1,5,5,4,8,3,1,2,1,1,4,1,1,2,1,5,1,2,2,1,1,4,3,1,7,4,1,1,2,1,4,6,5,5,7,2,1,2,1,1,3,1,2,2,1,3,1,3,2,1,1,4,1,2,6,3,1,2,2,1
36,1,Chrome,F,55,1,2,3,4,5,1,0,1,1,1,1,1,0,1,1,7,9,4,1,10,11,22,32,12,33,43,26,23,4,9,10,15,30,10,15,50,50,50,35,70,75,75,90,75,80,0.55,0.24,0.39,0.5,0.45,0.28,0.4,0.25,0.31,0.29,0.17,0.36,0.36,0.19,0.26,1,2,3,1,3,10,50,90,10,80,0.55,0.4,0.36,0.5,0.26,19,29,36,11,18,25,40,20,20,25,45,65,60,45,60,80,100,90,70,100,0.31,0.38,0.34,0.41,0.43,0.32,0.34,0.22,0.35,0.35,0.37,0.28,0.44,0.24,0.22,1,2,2,2,3,25,65,60,45,100,0.31,0.34,0.22,0.35,0.22,0.812,0.878,0.552,0.397,0.48,0.765,0.653,0.382,0.325,0.248,10,50,60,10,80,25,65,90,45,100,89670,118366,78837,79153,97023,7,8,9,8,9,2,1,1,1,1,7,8,9,8,9,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,9,9,9,8,9,1,1,1,1,1,8,9,9,8,9,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,8,9,9,8,9,1,1,1,1,1,8,8,9,8,9,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
37,1,Chrome,M,24,1,2,3,4,5,0,0,1,0,1,1,1,1,0,0,5,10,6,2,4,13,33,31,21,32,37,9,21,31,23,20,15,25,0,30,50,70,45,40,50,90,80,80,95,90,0.28,0.45,0.3,0.27,0.39,0.19,0.29,0.3,0.4,0.25,0.53,0.26,0.4,0.33,0.36,1,3,3,2,3,20,80,80,40,90,0.28,0.26,0.4,0.4,0.36,15,18,46,41,36,30,25,55,45,20,50,60,70,60,60,95,100,85,90,90,0.3,0.43,0.26,0.54,0.34,0.3,0.35,0.53,0.3,0.22,0.4,0.22,0.21,0.16,0.44,3,3,1,1,2,95,100,55,45,60,0.4,0.22,0.26,0.54,0.22,0.807,0.837,0.514,0.096,0.325,0.335,0.027,0.534,0.054,0.47,50,80,80,45,60,95,100,55,40,90,100819,64920,103380,59821,48077,6,8,7,6,6,7,2,5,4,6,6,8,5,6,5,4,2,5,5,5,5,5,5,5,5,6,6,5,5,5,9,9,7,6,9,1,1,5,4,1,9,8,5,6,9,3,5,4,5,1,7,2,6,6,7,4,6,5,5,5,6,8,5,5,6,5,6,4,5,4,6,7,4,5,5,5,6,5,5,5,7,5,5,5,5,3,5,5,5,6
38,1,Firefox,F,24,1,2,3,4,5,0,1,1,1,0,0,0,0,0,0,9,7,4,8,1,22,11,32,22,12,29,19,23,50,11,15,10,30,20,10,50,50,50,45,35,75,75,90,70,75,0.24,0.55,0.39,0.41,0.5,0.4,0.28,0.25,0.35,0.31,0.36,0.17,0.36,0.24,0.19,2,1,3,2,1,50,10,90,45,10,0.4,0.55,0.36,0.35,0.5,26,43,36,11,4,40,25,20,50,20,65,45,60,75,45,100,80,90,90,70,0.38,0.31,0.34,0.32,0.41,0.34,0.32,0.22,0.5,0.35,0.28,0.37,0.44,0.18,0.24,2,1,2,2,2,65,25,60,75,45,0.34,0.31,0.22,0.5,0.35,0.698,0.074,0.333,0.761,0.684,0.377,0.75,0.078,0.715,0.854,65,25,60,75,45,50,10,90,45,10,61450,50596,49530,59548,50762,6,4,7,8,7,2,7,1,1,2,9,5,7,7,6,1,8,1,2,3,9,2,5,6,5,1,4,1,1,2,7,3,9,6,2,1,5,1,2,7,8,2,9,5,1,1,8,1,4,8,9,1,9,4,1,1,5,1,2,6,8,4,9,6,4,1,6,1,2,7,9,1,9,7,2,1,8,1,3,8,7,1,7,5,2,1,5,1,2,5
39,1,Firefox,F,32,1,2,3,4,5,0,1,0,1,1,1,0,1,1,1,2,5,9,6,10,21,13,22,31,33,41,15,26,21,9,0,20,15,25,15,40,50,50,45,70,95,90,75,80,80,0.27,0.28,0.24,0.3,0.45,0.4,0.19,0.4,0.3,0.29,0.33,0.53,0.36,0.4,0.26,2,1,2,3,3,40,20,50,80,80,0.4,0.28,0.4,0.4,0.26,31,37,29,46,18,45,30,40,55,25,60,50,65,70,60,90,95,100,85,100,0.54,0.3,0.38,0.26,0.43,0.3,0.3,0.34,0.53,0.35,0.16,0.4,0.28,0.21,0.22,1,3,2,1,3,45,95,65,55,100,0.54,0.4,0.34,0.26,0.22,0.012,0.316,0.517,0.037,0.137,0.214,0.088,0.004,0.128,0.944,40,95,,80,80,45,,65,50,100,86149,57414,64281,55270,42922,7,9,5,9,9,2,1,4,1,1,7,9,5,9,9,4,1,6,1,1,5,9,5,9,9,3,1,5,1,1,5,4,6,5,9,5,6,4,6,1,5,3,7,5,9,7,8,5,7,1,3,3,5,5,9,5,7,3,6,1,6,6,6,6,9,4,3,4,4,1,4,6,6,7,9,7,5,4,4,1,5,4,5,5,9,4,4,3,3,1
40,1,Chrome,M,24,1,2,3,4,5,1,0,0,1,0,0,1,1,0,0,2,7,10,8,6,21,11,33,22,31,31,43,9,50,46,0,10,15,20,25,40,50,70,45,45,95,75,80,70,80,0.27,0.55,0.45,0.41,0.3,0.4,0.28,0.29,0.35,0.3,0.33,0.17,0.26,0.24,0.4,2,1,3,2,3,40,10,80,45,80,0.4,0.55,0.26,0.35,0.4,41,19,18,11,21,45,25,25,50,55,60,45,60,75,70,90,80,100,90,85,0.54,0.31,0.43,0.32,0.26,0.3,0.32,0.35,0.5,0.53,0.16,0.37,0.22,0.18,0.21,1,1,3,2,1,45,25,100,75,55,0.54,0.31,0.22,0.5,0.26,0.469,0.845,0.12,0.478,0.544,0.545,0.273,0.394,0.886,0.879,45,10,80,75,55,40,25,100,45,80,144920,40757,51983,40627,39248,5,3,7,7,5,3,3,2,2,4,5,4,7,7,5,6,7,2,3,6,3,3,5,5,3,5,6,2,3,5,6,3,8,6,7,3,3,1,2,2,6,4,8,6,7,4,7,1,4,2,6,4,6,4,7,4,6,1,3,2,6,3,8,7,6,3,3,1,2,2,6,4,8,7,6,5,7,1,4,3,5,3,4,5,5,4,6,1,2,3
41,1,Chrome,F,29,1,2,3,4,5,0,0,0,1,1,1,1,1,1,1,7,5,2,10,6,11,13,21,33,31,43,37,41,9,21,10,20,0,15,25,50,50,40,70,45,75,90,95,80,80,0.55,0.28,0.27,0.45,0.3,0.28,0.19,0.4,0.29,0.3,0.17,0.53,0.33,0.26,0.4,1,1,2,3,3,10,20,40,80,80,0.55,0.28,0.4,0.26,0.4,19,15,31,18,46,25,30,45,25,55,45,50,60,60,70,80,95,90,100,85,0.31,0.3,0.54,0.43,0.26,0.32,0.3,0.3,0.35,0.53,0.37,0.4,0.16,0.22,0.21,1,3,1,3,1,25,95,45,100,55,0.31,0.4,0.54,0.22,0.26,0.811,0.721,0.06,0.163,0.218,0.506,0.268,0.638,0.255,0.713,10,20,40,80,80,25,95,45,100,55,71396,47906,41283,44101,42509,7,8,8,9,9,2,1,1,1,1,8,8,6,9,9,2,1,1,1,1,6,6,6,8,9,3,1,1,1,1,9,9,8,9,8,1,1,1,1,1,9,9,6,9,8,1,1,1,1,1,5,9,5,9,8,1,1,1,1,1,8,9,8,9,9,1,1,1,1,1,8,9,8,9,9,1,1,1,1,1,6,8,8,9,9,1,1,1,1,1
42,1,Chrome,M,23,1,2,3,4,5,0,0,1,0,0,1,1,0,0,0,6,8,5,7,10,31,22,13,11,33,21,11,15,19,18,25,20,20,10,15,45,45,50,50,70,80,70,90,75,80,0.3,0.41,0.28,0.55,0.45,0.3,0.35,0.19,0.28,0.29,0.4,0.24,0.53,0.17,0.26,3,2,1,1,3,80,45,20,10,80,0.4,0.35,0.28,0.55,0.26,46,50,37,43,9,55,50,30,25,25,70,75,50,45,60,85,90,95,80,100,0.26,0.32,0.3,0.31,0.43,0.53,0.5,0.3,0.32,0.35,0.21,0.18,0.4,0.37,0.22,1,2,3,1,3,55,75,95,25,100,0.26,0.5,0.4,0.31,0.22,0.479,0.078,0.726,0.996,0.006,0.978,0.582,0.87,0.438,0.676,80,45,95,25,100,55,75,20,10,80,100345,65349,84974,79987,60409,9,7,9,2,9,1,1,1,2,1,9,7,9,2,9,1,3,1,9,1,9,7,9,1,9,1,1,1,1,1,6,7,3,1,9,1,1,3,3,1,6,7,3,1,9,5,3,9,9,1,1,6,1,1,9,1,1,1,1,1,7,7,5,2,9,1,1,2,2,1,7,7,4,2,9,4,4,5,9,1,5,4,5,1,9,1,1,1,1,1
43,1,Firefox,F,42,1,2,3,4,5,0,1,1,1,1,0,1,1,0,0,9,4,6,5,8,22,32,31,13,22,29,36,21,15,50,15,30,25,20,20,50,50,45,50,45,75,90,80,90,70,0.24,0.39,0.3,0.28,0.41,0.4,0.25,0.3,0.19,0.35,0.36,0.36,0.4,0.53,0.24,2,3,3,1,2,50,90,80,20,45,0.4,0.36,0.4,0.28,0.35,26,23,46,37,11,40,20,55,30,50,65,60,70,50,75,100,90,85,95,90,0.38,0.34,0.26,0.3,0.32,0.34,0.22,0.53,0.3,0.5,0.28,0.44,0.21,0.4,0.18,2,2,1,3,2,65,60,55,95,75,0.34,0.22,0.26,0.4,0.5,0.909,0.029,0.219,0.763,0.325,0.814,0.801,0.34,0.432,0.884,65,90,80,95,75,50,60,55,20,45,150556,75452,78249,61159,46800,7,9,9,9,9,1,1,1,1,1,7,9,9,9,8,2,1,1,1,1,8,8,9,9,9,1,1,1,1,1,8,8,7,6,9,1,1,1,1,1,8,8,8,6,8,1,1,2,3,2,7,8,9,7,9,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1
44,1,Chrome,F,21,1,2,3,4,5,0,0,0,0,0,0,1,0,0,1,8,7,9,5,3,22,11,22,13,23,50,43,29,15,8,20,10,15,20,15,45,50,50,50,70,70,75,75,90,80,0.41,0.55,0.24,0.28,0.49,0.35,0.28,0.4,0.19,0.27,0.24,0.17,0.36,0.53,0.24,2,1,2,1,2,45,10,50,20,70,0.35,0.55,0.4,0.28,0.27,11,19,26,37,3,50,25,40,30,0,75,45,65,50,30,90,80,100,95,60,0.32,0.31,0.38,0.3,0.41,0.5,0.32,0.34,0.3,0.37,0.18,0.37,0.28,0.4,0.22,2,1,2,3,3,75,25,65,95,60,0.5,0.31,0.34,0.4,0.22,0.904,0.828,0.748,0.813,0.466,0.566,0.212,0.35,0.518,0.704,75,75,65,95,70,45,25,50,20,60,92445,69099,44938,59640,51230,7,9,7,9,7,1,1,2,1,1,6,9,7,9,9,2,1,3,1,1,5,9,4,5,7,1,1,1,1,1,6,3,7,2,9,2,4,1,5,1,7,2,8,1,9,3,8,2,8,1,5,2,5,1,9,1,6,1,4,1,8,7,7,6,9,1,1,1,3,1,8,6,9,6,9,2,3,1,3,1,6,4,5,1,5,1,2,1,1,1
45,1,Chrome,M,25,1,2,3,4,5,0,0,0,1,1,1,0,0,0,0,3,4,10,5,7,23,32,33,13,11,8,23,18,15,19,15,30,15,20,10,70,50,70,50,50,80,90,80,90,75,0.49,0.39,0.45,0.28,0.55,0.27,0.25,0.29,0.19,0.28,0.24,0.36,0.26,0.53,0.17,2,3,3,1,1,70,90,80,20,10,0.27,0.36,0.26,0.28,0.55,3,36,9,37,43,0,20,25,30,25,30,60,60,50,45,60,90,100,95,80,0.41,0.34,0.43,0.3,0.31,0.37,0.22,0.35,0.3,0.32,0.22,0.44,0.22,0.4,0.37,3,2,3,3,1,60,60,100,95,25,0.22,0.22,0.22,0.4,0.31,0.038,0.7,0.113,0.021,0.069,0.754,0.219,0.726,0.719,0.62,70,60,100,95,25,60,90,80,20,10,69672,60624,42342,35887,39261,6,7,7,7,7,9,4,4,3,3,5,9,8,9,9,8,3,3,7,9,3,7,9,3,3,9,7,8,6,5,9,9,6,6,7,4,1,3,2,4,7,9,9,6,9,9,1,8,1,3,4,9,7,1,6,6,1,4,6,4,7,7,6,5,5,9,3,9,2,9,3,9,4,8,2,8,4,6,1,6,6,5,2,1,4,6,2,7,5,7
46,1,Chrome,F,28,1,2,3,4,5,1,0,1,1,0,1,1,1,1,0,2,7,1,8,3,21,11,12,22,23,41,43,4,11,3,0,10,10,20,15,40,50,35,45,70,95,75,75,70,80,0.27,0.55,0.5,0.41,0.49,0.4,0.28,0.31,0.35,0.27,0.33,0.17,0.19,0.24,0.24,2,1,1,2,2,40,10,10,45,70,0.4,0.55,0.5,0.35,0.27,31,19,11,50,8,45,25,20,50,0,60,45,45,75,30,90,80,70,90,60,0.54,0.31,0.41,0.32,0.41,0.3,0.32,0.35,0.5,0.37,0.16,0.37,0.24,0.18,0.22,1,1,2,2,3,45,25,45,75,60,0.54,0.31,0.35,0.5,0.22,0.61,0.286,0.352,0.864,0.325,0.646,0.286,0.707,0.121,0.272,40,10,10,45,60,45,25,45,75,70,84194,68009,67038,66989,74822,8,4,5,7,9,2,5,3,4,1,5,2,4,5,7,7,8,8,6,1,3,2,3,3,5,3,7,5,5,1,5,6,8,8,8,2,4,3,2,2,3,3,5,5,6,7,8,5,3,3,2,3,2,2,4,3,6,3,3,4,7,6,8,8,8,2,3,2,2,2,5,5,5,6,6,6,8,4,3,2,3,2,3,2,7,5,6,3,2,2
47,1,Chrome,M,19,1,2,3,4,5,0,0,0,0,0,0,0,0,1,0,9,5,7,10,3,22,13,11,33,23,29,15,19,9,3,15,20,10,15,15,50,50,50,70,70,75,90,75,80,80,0.24,0.28,0.55,0.45,0.49,0.4,0.19,0.28,0.29,0.27,0.36,0.53,0.17,0.26,0.24,2,1,1,3,2,50,20,10,80,70,0.4,0.28,0.55,0.26,0.27,26,37,43,18,8,40,30,25,25,0,65,50,45,60,30,100,95,80,100,60,0.38,0.3,0.31,0.43,0.41,0.34,0.3,0.32,0.35,0.37,0.28,0.4,0.37,0.22,0.22,2,3,1,3,3,65,95,25,100,60,0.34,0.4,0.31,0.22,0.22,0.135,0.158,0.073,0.874,0.877,0.7,0.445,0.247,0.753,0.559,65,95,25,80,60,50,20,10,100,70,65590,61773,63061,48973,53747,7,8,2,7,9,3,1,7,2,1,4,9,3,9,9,6,1,7,1,1,5,8,2,9,9,3,1,5,1,1,7,5,3,9,7,2,3,6,1,1,6,3,3,9,7,4,8,6,1,2,6,2,2,9,8,3,6,8,1,2,7,6,3,9,8,2,2,7,1,2,6,7,2,9,7,4,3,7,1,2,5,7,2,9,8,2,3,3,1,2
48,1,Chrome,F,29,1,2,3,4,5,1,1,1,0,1,1,0,1,1,0,7,4,9,6,8,11,32,22,31,22,43,23,26,21,50,10,30,15,25,20,50,50,50,45,45,75,90,75,80,70,0.55,0.39,0.24,0.3,0.41,0.28,0.25,0.4,0.3,0.35,0.17,0.36,0.36,0.4,0.24,1,3,2,3,2,10,90,50,80,45,0.55,0.36,0.4,0.4,0.35,19,36,29,46,11,25,20,40,55,50,45,60,65,70,75,80,90,100,85,90,0.31,0.34,0.38,0.26,0.32,0.32,0.22,0.34,0.53,0.5,0.37,0.44,0.28,0.21,0.18,1,2,2,1,2,25,60,65,55,75,0.31,0.22,0.34,0.26,0.5,0.144,0.809,0.867,0.578,0.994,0.222,0.395,0.276,0.819,0.649,10,60,50,80,75,25,90,65,55,45,149984,118106,96113,100974,97589,2,6,6,9,7,1,2,3,1,2,2,7,7,9,7,1,2,2,1,2,1,7,7,9,7,5,2,2,1,2,1,9,6,4,5,8,1,3,5,4,1,9,4,3,5,8,1,6,6,4,1,9,5,2,2,9,1,4,8,4,2,8,4,5,5,8,2,3,4,2,2,8,4,6,5,9,2,3,4,5,1,8,5,5,3,9,2,3,6,4
49,1,Chrome,F,38,1,2,3,4,5,0,1,1,0,1,0,1,1,0,1,5,4,9,10,6,13,32,22,33,31,15,36,26,18,21,20,30,15,15,25,50,50,50,70,45,90,90,75,80,80,0.28,0.39,0.24,0.45,0.3,0.19,0.25,0.4,0.29,0.3,0.53,0.36,0.36,0.26,0.4,1,3,2,3,3,20,90,50,80,80,0.28,0.36,0.4,0.26,0.4,37,23,29,9,46,30,20,40,25,55,50,60,65,60,70,95,90,100,100,85,0.3,0.34,0.38,0.43,0.26,0.3,0.22,0.34,0.35,0.53,0.4,0.44,0.28,0.22,0.21,3,2,2,3,1,95,60,65,100,55,0.4,0.22,0.34,0.22,0.26,0.766,0.723,0.926,0.292,0.27,0.112,0.707,0.507,0.08,0.07,95,90,50,100,80,20,60,65,80,55,131678,85469,89100,49162,74852,9,9,7,9,9,1,1,4,1,1,8,8,5,9,9,1,1,6,1,1,9,9,6,9,9,1,1,2,1,1,1,5,7,9,1,9,7,6,1,9,1,5,6,9,1,9,6,6,1,9,3,5,6,9,1,5,2,2,1,1,5,7,7,9,7,6,3,3,1,6,3,6,5,9,5,8,5,5,1,6,6,6,7,9,6,4,2,2,1,1
50,1,Chrome,M,24,1,2,3,4,5,1,1,1,0,0,0,0,0,1,1,4,7,1,10,6,32,11,12,33,31,23,19,11,9,21,30,10,10,15,25,50,50,35,70,45,90,75,75,80,80,0.39,0.55,0.5,0.45,0.3,0.25,0.28,0.31,0.29,0.3,0.36,0.17,0.19,0.26,0.4,3,1,1,3,3,90,10,10,80,80,0.36,0.55,0.5,0.26,0.4,36,43,4,18,46,20,25,20,25,55,60,45,45,60,70,90,80,70,100,85,0.34,0.31,0.41,0.43,0.26,0.22,0.32,0.35,0.35,0.53,0.44,0.37,0.24,0.22,0.21,2,1,2,3,1,60,25,45,100,55,0.22,0.31,0.35,0.22,0.26,0.886,0.742,0.013,0.058,0.704,0.194,0.898,0.781,0.975,0.505,60,25,45,80,80,90,10,10,100,55,93950,50629,58514,69687,57756,6,3,5,9,9,2,9,1,1,1,7,1,6,9,9,4,9,1,1,1,5,1,7,9,9,1,9,1,1,1,9,1,1,9,3,1,9,9,1,5,9,1,1,9,4,1,9,9,1,7,9,1,1,9,1,1,9,9,1,5,7,1,2,9,4,1,9,6,1,5,9,1,1,9,4,1,9,9,1,3,5,1,1,9,4,1,9,6,1,6
